abbreviation,اختصار
library handler,برنامج تدبير مكتبة
light,رقيق,نور
light pen,قلم ضوئي,قلم خفيف
line,سطر,خط اتصالات,خط مخصص
line hit,تشويش
link,ربط,رابط
linkage,ربط
link control procedure,بروتوكول التحكم في الاتصال
listserv,قائمة النشر
load,تحميل,حمل
load program,برنامج التحميل
local area network (LAN),شبكة محلية
local mode,منوال محلي
location,موضع,موقع
lock-out,إزلاج
log,يومية المتن,سجل
logical add,جمع منطقي
logical unit,وحدة منطقية
login,فتح,ولوج,تسجيل دخول
logo,ترخيمة,شعار,لوجو
log off,إغلاق,خروج,تسجيل خروج
logout,إغلاق,خروج,تسجيل خروج
look up,بحث
lower case,حرف صغير
machine learning,تعلم آلي,تعلم الآلة,التعلم بالمكنة
machine translation,ترجمة آلية
macro,ماكرو,قالب كبير
macro library,مكتبة ماكرو
macro virus,فيروس ماكرو
magnetic disk,قرص مغناطيسي,قرص مغنطيسي
magnetic head,رأس مغناطيسي
magnetic medium,وسيط مغناطيسي
magnetic tape,شريط مغناطيسي,شريط مغنطيسي
mail box,صندوق بريد
mailing list,قائمة البريد,قائمة بريدية
mail server,خادم البريد,خادوم البريد
main frame,حاسوب رئيسي
main menu,قائمة الخيارات الرئيسية
main storage,خزان رئيسي
main task,مهمة رئيسية
maintenance,صيانة
management,تدبير,إدارة
manager,مدبر,مدير
man machine interface (MMI),وجيهة بين الإنسان والآلة
manual,كتيب شرح,دليل,دليل التشغيل
manual input,إدخال يدوي
manufacturer,صانع
margin,هامش
markup,معلم,رقم
mask,قناع,حجاب
masking,إخفاء جزئي
mass mailing,إرسال بريدي متعدد
mass storage,ذاكرة ضخمة,خازنة ضخمة
master,سيد,رئيس,رئيسي
match key,مفتاح الفرز
matrix printer,طابعة نقطية,طابعة مصفوفية
megabyte (MB),ميغابايت
megahertz (MHZ),ميغاهرتز
memorize,تخزين
memory,ذاكرة,كود الذاكرة,فيضان الذاكرة,مبادلة الذاكرة
memory capacity,سعة الذاكرة
memory management,تدبير الذاكرة,ادارة ذاكرة
memory map,خريطة الذاكرة
memory protection,حماية الذاكرة,حماية ذاكرة
menu,قائمة خيارات,قائمة,قائمة اختيارات
menu bar,شريط قوائم الاختيارات,شريط القوائم,شريط القائمة
merge,دمج
message,رسيلة,رسالة
message routing,توجيه رسيلة
messaging,بريد
microchip,شريحة مدمجة
microcomputer,حاسوب مايكروي,حاسب ميكرو,حاسوب دقيق
microfiche,جذاذة دقية,مايكروفيش
microfiche reader,قارئة الجذاذات الدقية
microfilm,فلم دقي
microprocessor,معالج دقي,معالج ميكرو,مشغل دقيق
migration,نقل
million instructions per second (MIPS),مليون تعليمة في الثانية
mirror (server),مرآة (خادم)
mobile,محمول
mode,منوال,وضع
model,نموذج,طراز
modeling,نمذجة
modem (modulator/demodulator),موديم
moderator,وسيط,مشرف
modular,قالبي,تركيبي
module,مكون,وحدة
monitor,مرقاب
monochrome display,عرض وحيد اللون
mosaic,فسيفساء,فسيفساء (ص. فسيفسائي),موزاييك
motherboard,لوحة أم,اللوحة الأم
mouse,فأرة,ماوس
mouse speed,سرعة الفأرة
multipurpose internet mail extensions (MIME),بروتوكول ميم
multitasking,متعدد المهام,تعدد المهام,تعدد المهمة
multi-user dungeon (MUD),لعبة الأبراج
multi-user system,نظام متعدد المستعملين,نظام متعدد المستخدمين
musical instrument digital interface (MIDI),وجيهة رقمية للأدوات الموسيقية
nanosecond,نانوثانية,نانو ثانية
navigator,مبحر,ملاح
near letter quality (NLQ),جودة طبع بريدي
negative acknowledgement,إشعار بعدم تسلم,شبكة
netiquette,أخلاق الشبكة,آداب التعامل في الشبكة,أخلاقيات إنترنتية
netizen (internet citizen),مواطن الشبكة
net supervisor,مشرف على الشبكة
net surfer,مبحر
network,شبكة,الشبكة,طوبولوجيا الشبكات
network architecture,بنية شبكة
network computer (NC),حاسوب شبكي
network connection,وصل شبكي
network crash,عطل شبكة
network data base,قاعدة معطيات شبكية,قاعدة بيانات على الشبكة
network driver,مدبر الشبكة
network file system (NFS),نظام التشارك الشبكي في الملفات
network information center (NIC),مركز المعلومات على الشبكة
network layer,طبقة الشبكة
network management,تدبير شبكة,إدارة الشبكة
network protocol,بروتوكول الشبكة
network topology,طوبولوجية شبكة
news,أنباء,أخبار
newsgroup (forum),ندوة المناقشة
new start,إعادة انطلاق
nickname,اسم مستعار,كنية
node,عقدة,توازن العقدة,عقدة تحويل
nomenclature,صنافة
non volatile memory,ذاكرة دائمة,ذاكرة غير متطايرة,ذاكرة مستديمة
numerical character,محرف رقمي
numerical sorting,فرز عددي
object,موضوع,كائن,شيء
oblique stroke,عارضة مائلة,ترصدات,ملاحظات
occurrence,ورود,حدوث
offline,مفصول,غير متصل,غير مباشر
offline processing,معالجة مرجأة
online,على الخط,مباشر
online help,مساعدة على الخط
online processing,معالجة مباشرة
online service,خدمة مباشرة
operating system (OS),نظام تشغيل
operating time,مدة التنفيذ,زمن التشغيل
operation,عملية
operator,عامل,مشغل
optical cable,حبل ذو ألياف ضوئية
optical character reader,قارئة ضوئية للمحارف
optical character recognition (OCR),تعرف ضوئي على المحارف
optical disk,قرص ضوئي,قرص ضوئي)
optical reader,قارئة ضوئية
optical scanner,مفراس ضوئي
optimization,أمثلة
option,خيار
option case,خانة الخيارات
organization chart,رسامة تنظيمية
output,خرج,رمز على مخطط مسار العمليات,يحدد له رقم معين يدل على استكمال المسار في موقع آخر,له الرمز والرقم نفساهما.,خرج الحاسوب
output device,جهاز إخراج,في الخارج,خارج عن
output port,بوابة الخرج
output process,استخراج
overhead projector,عارضة عاكسة
overlay,إطباق,إعادة التعريف,إحلال
pack,كبس,علبة,حزمة أقراص
package,برمجية جاهزة,حزمة
packet,حزمة,رزمة
packet internet groper (PING),رائز حزم إنترنيت
packet switched,شبكة تبديل بالحزم,تبديلي الحزمة
packet switching network,شبكة تبديل بالحزم
page,صفحة
page frame,إطار صفحة,إطار الصفحة
page header,عنيان صفحة
pages per minute (PPM),صفحات في الدقيقة
paging,تصفيح,دهن,صباغة,تصفح
paper feed,تمرير الورق
paper feed control,تحكم في تمرير الورق
paper jam,تكدس الورق
paper weight,وزنية الورق
parallel port,بوابة متوازية,منفذ متوازي
parallel printer,طابعة بالتوازي
parallel processing,معالجة بالتوازي,إجراء متواز,معالجة متوازية,تشغيل متواز
parallel running,تشغيل بالتوازي
parent directory,مصنفة أصل,المجلد الأم
partition,تجزئة,قسم
partition virus,فيروس التجزئة
password,كلمة السر,كلمة سر
paste,لصق,إلصاق
patch,مصحح,رقعة,تصحيح
patch plug,قابس وصل
path,سبيل,مسار
pathname,سبيل تام للولوج,اسم المسار
pattern,نموذج,نمط
pattern recognition,تعرف على الأشكال,توقف مؤقت,تميز الأشكال
pecker,ملتقط
performance,إنجاز,دورة
performance/cost ratio,نسبة الإنجاز إلى الثمن
peripheral device,جهاز طرفي
personal computer,حاسوب شخصي
phone dialer,مركب الأرقام الهاتفية
pick,انتقى
pixel,بكسيل,بكسل,نقطة ضوئية
place recovery,استرجاع مكان
platform,أرضية,منصة
plotting table,طاولة راسمة
plug and play,قبس وتشغيل,قبس و تشغيل,وصل وشغل
plug-in board,بطاقة قابلة للقبس
point of presence (PoP),نقطة الوصل
point-to-point protocol,بروتوكول وصل نقطة بنقطة,ميفاق نقطة الى نقطة
poll,استفتاء
polymorphous virus,فيروس متعدد الأشكال
pop-down menu,قائمة خيارات منسدلة,قائمة منسدلة
port,بوابة,منفذ,منفذ إدخال وإخراج
portability,نقولية,قابلية للنقل
postfix,لاحقة,تنويت ملحق
post office protocol (POP),بروتوكول البريد الإلكتروني
preset,استفتح,ضغط
preventive maintenance,صيانة وقائية
preview,رأى,مشاهدة مسبقة,معاينة
print,طبع
printed circuit,دارة مطبوعة,دائرة مطبوعة
printer,طابعة
printer ribbon,سفيفة طابعة
print head,رأس الطبع
printing pin,إبرة الطبع
printing rate,سرعة الطبع
printout,إخراج على الطابعة,طبع,مطبوعات
priority,أولوية
privacy,خصوصية
privacy-enhanced mail (PEM),بريد مدعم السرية
process chart,رسامة إجراءات
processing,معالجة,جاري التطبيق,جاري المعاملة,جاري التنفيذ
processor,معالج,معالج الكلمات
processor structure,بنية المعالج
