analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
quantization,تَحْوِيلٌ كَمِّيٌّ
quantization noise,شَوْشَرَةُ التَّحْوِيلِ الكَّمِّيِّ
quantum,كَمَّة
quantum computer,حاسوب كمي
quantum computing,حوسبة الكم
quantum, time sharing,المشاركة الزمنية للكم
quartet,رُباعِيُّ البيتَّاتِ
quartz crystal,بِلَّوْرَةُ كوارتز
quasi random number,رَقْمٌ شِبْهُ عَشْوائِيٍّ
query language,لُغَةُ اِسْتِعْلامٍ
FIFO,طابُور
queuing theory,نَظَرِيَّةُ الطَّابُورِ
quick time,كويك تايم
QUICKTRAN,كويكتران
quotation mark,عَلامَةُ التَّنْصِيصِ
quotient,ناتِجُ القِسْمَةِ
quotient register,مُسَجِّلُ ناتِجِ القِسْمَةِ
quoting,اقتباس
QWERTY,كويرتي
,( انظر: أزيرتي  AZERTY ، دفوراك  DVORAK)
race condition,حالَةُ تَسابُقٍ
raceway floor,مجرى الكبلات
rack-up,انزياح إلى أعلى
base,أساس
radix point,عَلامَةُ الأساسِ
rag,تعرج
redundant arrays of inexpensive disks,مصفوفات وافرة من أقراص رخيصة
Random Access Memory,ذاكِرَةُ التَّوَصُّلِ العَشْوائِيِّ
RDRAM,رام دينامية رامبس
resource allocation in multiproject scheduling,تخصيص الموارد في جدولة المشروعات المتعددة
random access,التَّوَصُّلُ العَشْوائِيُّ
random access device,وَحْدَةُ تَوَصُّلٍ عَشْوائِيٍّ
RAM,ذاكِرَةُ التَّوَصُّلِ العَشْوائِيِّ
raster graphics,الرَّسْمُ بخُطُوطٍ مُتَوازِيَةٍ
RIP,معالج تكوين الصور (ماسح (
raster scan,المَسْحُ بخُطُوطٍ مُتَوازِيَةٍ
raw data,بَياناتٌ خامٌ
relational database management system,نظام إدارة قواعد البيانات المترابطة
reachability,التَّوَصُّلِيَّةُ (الوُصولوية)
read,مفهوم في نظرية المخططات يدل على وجود مسار بين عقدتين في مخطط متجه؛ فيقال إن العقدة أ يتوصل إليها من العقدة ب، إذا وجد مسار من ب إلى أ.
regenerative read,دَوْرَةُ القِراءةِ والاِسْتِبْقاءِ
read/write head,رَأْسُ القِراءةِ والكِتابَةِ
reader,قارِئ
real-time clock,ساعَةُ الزمن الفعلي
real-time language,لُغَةُ الزمن الفعلي
real-time system,نِظامُ الزمن الفعلي
receive interruption,مقاطعة الاستقبال
reconstitute,إعادة تكوين
records, vital,سجلات حيوية
recoverable error,خَطَأٌ يُتَدارَكُ
recoverable read error,غَلْطَةُ قِراءةٍ تُتَدارَكُ
recovery,إفاقَة
recto,الصفحة اليمنى (رِكتو)
recursive algorithm,خَوارِزْمٌ تَكْرارِيٌّ
recursive subroutine,برنامج فرعى تكراري
Recycle Bin,صندوق الاسترجاع
,مكان في نظام النوافذ يُحتفظ فيه بالملفات المطلوب حذفها احتياطيًّا . ويُسمح باسترجاع تلك الملفات عند الحاجة إليها، أو إذا أخطأ المستخدم وحذف ملفًا مهمًّا غير مطلوب حذفه بالفعل، إلى أن يتم حذف هذه الملفات نهائيًّا  من النظام.
reduction machine,مكنة اختزال
redundant,فائِض
RAID,ريد
re-engineering,إعادة هندسية
re-entrant,متعدد الدخول
re-entrant program,بَرْنامَجٌ مُتَعَدِّدُ الدُّخُولِ
reflectance,انعكاسية
refresh,إنْعاش
refresh rate,معدل الإنعاش
regeneration period,فترة تواتر الاسترجاع
read and restore cycle,دَوْرَةُ القِراءةِ والاِسْتِبْقاءِ
regenerative store,مخزن دائم التحديث
regression,تراجع
regression testing,اختبار تراجعي كلي
regular grammar,النَّحْوُ المُعْتادُ
relation,عِلاقَة
relational data base,قاعِدَةُ بَياناتٍ عِلاقِيَّةٌ
relative  record address,العنوان النسبي لسجل
relative addressing,العَنْوَنَةُ النِّسْبِيَّةُ
relative transmission level,المستوى النسبي للإرسال
relay,مُرحِّل
reliability,الاعتمادية
relocatable program,بَرْنامِجٌ قابِلٌ للتَّنَقُّلِ
relocation memory dynamic,ترحيل دينامي في الذاكرة
remedial maintenance,صيانة إصلاحية
remote batch printer,طابعة دُفعات عن بعد
remote job entry,إدْخالُ الشّغْلاتِ عَن بُعْدٍ
remote sensing,الاِسْتِشْعارُ عَن بُعْدٍ
remote system,نظام حاسوب عن بُعد
rendering,الإيحاء بالواقعية
repair time,زَمَنُ الإصْلاحِ
repeater,مكرِّر الإشارة
replicators,ناسخات
ARQ,طلب الإعادة أوتوماتيًّا
rerouting,تغيير المسار
rescue dump,إيداع إنقاذي
return point,نقطة رجوع
reserved word,كَلِمَةٌ مَحْجُوزَةٌ
keyword,كلمة كاشفة (كلمة مخصصة)
reset,إعادَةُ ضَبْطٍ
residence volume, system,حَيَّز حفظ نظام التشغيل
resident assembler,مُجَمِع مقيم
resident program,بَرْنامَجٌ مُقِيمٌ
residual error,خطأ متبقٍ
residual error rate,مُعَّدل الأخطاء المتبقية
residual error ratio,نسبة الأخطاء المتبقية
resilience,التحايل على العطل
resolution,حدة التَّمْيِيز
resolution error,خطأ قصور التمييز
resource saving,الاحتفاظ بالموارد
resource sharing,المشاركة في المورد
resources,إمْكانِيَّات
response time,زَمَنُ الاِسْتِجابَةِ
restart,إعادَةُ تَشْغِيلٍ
restore,العَوْدَةُ للأصَلِ
resolution enhancement technology,تقنية حدة الوضوح
retention date,تاريخ الإبقاء
retention period,مدة الإبقاء
retrieval, data,اِسْتِرْجاعُ البَياناتِ
retrofit,إلحاق مستحدث
retrofit testing,اختبار التطوير
return instruction,أمْرٌ بالعَوْدَةِ
reverberation, artificial,ترداد اصطناعي
reverse video,فيديو اِنْعِكاسِيٌّ
reversible counter,عدَّاد عكوس
revolutions per minute,عدد الدورات في الدقيقة
red , green , blue,أحمر - أخضر - أزرق
RTF,نص غنى
ring network,شَبَكَةٌ حَلَقِيَّةٌ
ringing,أجراس
raster image processor,معالج تكوين الصور ( ماسح)
ripple counter,عَدَّادٌ تَمَوُّجِيٌّ
reduced instruction set computing,ريسك
remote job entry,إدخال عن بعد
robot,روبوت
robotics,الروبوتِيَّاتُ (عِلْمُ الآلِيَّاتِ المُبَرْمَجَةِ)
robotlan,لغة الروبوت
robustness (of a system),قُوَّةُ التَّحَمُّلِ (لنِظامٍ)
roll-back,إرْجاع
roll-in / roll-out,إدخال وإخراج شغلة
ROM,ذاكرة قراءة فقط
ROM cartridge,خرطوشة روم
roster graphics,سِجِلُّ المُخَطَّطاتِ
round-off error,خَطَأُ التَّقْرِيبِ
round-robin,تَجَوُّلٌ دَوْرِيٌّ
route,مسار
router,موجِّه مسار
routing,اِخْتِيارُ المسار
RPG,أر بي جي
recommended standard,مرجع قياسي موصى به
record separator,فاصل السجلات
repetitive strain injury,آلام الإجهاد المتكرر
run chart,مخطط تنفيذي
RLL encoding,تكويد مقيد الطول
execution time,فَتْرَةُ التَّنْفِيذِ
run, manual,دليل التشغيل
active,نَشِيط
R/W,قارئ/ كاتب
,"white-space: pre;">	توصيف للملفات (files) والأدلة (directories) التي يمكن القراءة منها، والكتابة عليها.
structured analysis and design technique,تقنية تركيبية للتحليل وللتصميم
safety ring,حلقة أمان
sample-and-hold circuit,دائرة رصد الجهد وتثبيته
sampling,أخْذُ عَيِّناتٍ
sampling, signal,أخْذُ عَيِّناتٍ مِن الإشارَةِ
sanitation,تطهير
Sanitization,محو المادة الحسّاسة
satellite computer,حاسوب تابِعٌ
satellite processor,معالج ساتل
save area,منطقة حفظ
SAVT,جدول مِنْطقة حِفْظِ
SMQ,طابور حفظ واسترجاع
sawtooth waveform,موجة أسنان المنشار
scalability,قابلية التوسع
scaling,ضَبْطُ القِياسِ
scanner,ماسِحَة
scanner, image,ماسِحَة الصُّوَرِ
Scart socket,مقبس اسكارت
Syndicat des Constructeurs d`Appareils Radio Récepteurs et Téléviseurs,اسكارت لفظة تتكون من بادئات  العبارة الفرنسية
scatter read,قراءة وتسجيل متفرق
scenario,سيناريو
scheduler,مُجْدوَل
scheduling,جَدْوَلَة
scheduling algorithm,خَوارِزْمُ الجَدْوَلَةِ
schema,نَسْق
schematic diagram,مُخَطَّطٌ أوَّلِيٌّ
Science learning network,شبكة تعلُّم العلوم
windowing,اِسْتِقْطاع
scramble,خَلْط
scramble time,زمن التزاحم
scratch file,مِلَفُّ مُسَوَّدَةٍ
scratch pad memory,ذاكِرَةُ مُسْوَدَّاتٍ مؤقتة
disk,شريط أو قرص تسويد
scratchpad,ذاكرة مؤقتة
screen,شاشَة
screen reader,شاشة قارئة
screen saver,حافظ الشاشة
script,نص مكتوب (اسكريبت)
scripting language,لغة البرامج المساعدة
scrollbar,شريط التلفيف
scrolling,التَّلْفِيفُ - التَّبْدِيلُ باللَّفِّ
small computer system interface,نظام توصيل بيني
software developer's kit,طقم لمطوِّري البرامج
symmetrical digital subscriber line,خط اشتراك رقمي متماثل
search cycle,خط اشتراك في تقنية تتيح نقل البيانات الرقمية- بما في ذلك الفيديو- بين الحواسيب على خطوط التليفون، بسرعات تصل إلى 384 كيلو بيتة في الثانية، في اتجاهي الإرسال والاستقبال.
search engine,برنامج تقَصِّ
search engine,محرك بحث
search key,مفتاح البحث
search, binary,بحث (ثنائي)
search, chained,بَحْثٌ تَسَلْسُلِيٌّ
searching,عملية البَحْثُ
second generation computers,حواسيب الجيلِ الثَّانِي
first, third, and fourth generation computers ),(انظر: حواسيب الجيل الأول والثالث والرابع
secondary access,تَوَصُّلٌ ثانَوِيٌّ
SAVT,جدول العناوين الثانوية
secondary console,كُونْسُول ثانوي
secondary file,مِلَفٌّ ثانَوِيٌّ
backing storage,خازِنَةٌ مُسانِدَةٌ
secrecy,سِرِّية
sector,قِطاع
secure HTTP,بروتوكول آمن لنقل المتن المُفرط
SSL,طبقة المقبس الآمن
SSL,طبقة المنافذ الآمنة
security,تَأْمين
security certificate,وثيقة أمان
seek,السعي
seek time,زَمَنُ السَّعْي
sign-reversing amplifier,دائرة عاكسة
segment,شِقّ
segmented program,برنامج مُجَزأ
request, job,طلب الشغلة التالية
selector,المُنتقِى
self-checking code,شَفْرَةٌ ذاتِيَّةُ الاِخْتِبارِ
self-checking number,عدد ذاتي التحقيق
self-tuning,الضبط الذاتي
semantic error,خَطَأٌ دَلالِيٌّ
semantic network,شَبَكَةٌ دَلالِيَّةٌ
semantics,عِلْمُ الدَّلالَةِ
semaphore,سيمافور
semi-automatic switching center,مركز تحويل نصف أوتوماتي
sensing element,عُنْصُرُ الاِسْتِشْعارِ
sensitivity analysis,تَحْلِيلُ الحَساسِيَّةِ
sensor,الحسَّاس
sentinel,علامة تنبيه
separator,فاصِلَة – الفصْلة
sequence control register,سجل التحكم التتابعي
sequencer,مُنَظِّمُ التَّتابُعِ
sequency,التَّتابُع
sequential access,التَّوَصُّلُ التَّتابُعِيُّ
SAM,أسلوب التوصُّل التتابُعي
sequential access storage,تخزين تتابعي التوصُّل
sequential alarm module,وحدة إنذار تعاقبي
sequential circuit,دائِرَةٌ تَتابُعِيَّةٌ
sequential file,مِلَفٌّ تَتابُعِيٌّ
serial access,تَوَصُّلٌ تَسَلْسُلِيٌّ
S I O,إدْخالٌ وإخْراجٌ على التَّوالي
serial interface,أداةٌ بَيْنِيَّةٌ تَسَلْسُلِيَّةٌ
serial printer,طابِعَةٌ تَسَلْسُلِيَّةٌ
SIPO,دُخُولٌ مُتَوالٍ وخُرُوجٌ مُتَوازٍ
SISO,دخول متوالٍ وخروج متوالٍ
server,حاسوب خادم
server farm,تجمع حواسيب خادمة
server, file,متيح مَلَفَّاتٍ
service bits,بيتَّاتُ خِدْمَةٍ
service routines,بَرامِجُ الخِدْمَةِ
serviceability,الصلاحية
SLIP,سليب
session,دَوْرَة
set,الفترة التي يتم فيها تبادل الرسائل بين عمليتين في حاسوبين، أو بين حاسوب ونهايته الطرفية، عبر شبكة اتصال.
secure electronic transfer,النقل الإلكتروني الآمن
set top box,صندوق فوقي للضبط
set-up time,فَتْرَةُ الإعْدادِ
seven segment display,عَرْضٌ سُباعِيُّ الأجْزاءِ
shadow mask,قناعُ ظل
shadow RAM,رام الظليَّة
sharable code,كود مشاركة
shared files system,نظام المشاركة في الملفات
shared logic system,نظام منطق مُشتَرك
shared memory,مصطلح يُسْتخدَم أحيانًا لوصف نظام له أكثر من نهاية طرفية، تشترك في وحدة تشغيل تعمل في وقت واحد.
shareware,برامج للمُشَّاركة
shed, oxide,فقد الأكسيد
shell,قشرة
shell account,حساب قشري ( شِلْ )
shell script,نص قشري ( شِلْ )
shield, electrostatic,درع إلكتروستاتية
shielding,درع لحماية جهاز من التأثير الكهربائي لجهاز آخر.
shift,إزاحَة
shift character,زر الإزاحة أو النقل
shift register,مُسَجِّلُ إزاحَةٍ
shockwave,موجة صدمية
shortcut,طريق مختصر
shoulder tap,وسيط اتصال
shovelware,عتاد جاروفي
brother,أخ
sigma memory,ذاكرة سيجما
sign bit,بيتُّة الإشارَةِ
log out,تَسْجِيلُ خُرُوجٍ
log in,تَسْجِيلُ دُخُولٍ
sign reversing amplifier,مُضَخِّم عاكس للإشارات
sing-changing amplifier inverting amplifier,جهاز لعكس الإشارة الفلطية الخارجة، وتضخيمها ويسمى أيضًا
signal distance,طول الإشارة
signaling rate,معدَّل الإشارات
signature,توقيع
signature analysis,تَحْلِيلُ البَصْمَةِ
SOS circuitry,دوائر السليكون فوق الياقوت
SILK,سيلك
SIMD processor,مُشَغِّلٌ مُتَعَدِّدُ الوَحَداتِ
SMTP,بروتوكول بسيط لنقل البريد
SNMP,البروتوكول البسيط لإدارة الشبكة
half duplex,أُحادِيَّةُ الاِتِّجاهِ
simplex mode,الإرسال البسيط
simplex transmission,إرسال مفرد
simula,سيميولا
simulation,مُحاكاة
simulator,المُحاكي
simulator routine,روتين محاكاة
SIMD processor,مُشَغِّلٌ مُتَعَدِّدُ الوَحَداتِ
single shot circuit,دائرة ضبط مفرد
single step operation,تَنْفِيذٌ أُحادِيُّ الخُطْوَةِ
single-thread application program,برنامج تطبيقي تتابعي
site license,ترخيص موقع
skeletal code,كود هيكلي
skew,الهيكل الأساسي لبرنامج مَّا يتضمن التعليمات العامة دون تفاصيل، أو عناوين فِعلية.
slave machine,آلَةٌ تابِعَةٌ
slice architecture,بِنْيَةٌ شَرائِحِيَّةٌ
slide show,عرض بالشرائح
PPP,بي بي بي
slotted AIOHA,بروتوكول أيوها المجزأ
slow television,المسح التليفزيوني البطيء
SCSI,اسكزى
SSI,تَجْمِيعٌ صَغِيرٌ
agent,برنامج ذكى
Smartphone,هاتف نقال ذكي (النقال الذكي)
shared memory bus architecture,بنية مسار الذاكرة المشتركة
smudge,تلطيخ
Systems Network Architecture,بنية شبكات النظم
snapshot dump,إخراج فوري
sneak current,تيار مُتسلّل
sneakernets,شبكة اعتبارية
string- oriented symbolic language,سنوبول
SMPTE,جمعية مهندسي التليفزيون والصور المتحركة
socket,مَقْبِس
soft copy,نُسْخَةٌ زائِلَةٌ
software,بَرامِجُ الحاسوب
software engineering,هَنْدَسَةُ البَرْمَجَةِ
software house,دارُ البَرْمَجَةِ
software life cycle,دورة حياة البرنامج
software package,حُزْمَةُ بَرامِجٍ
software prototyping,النموذج الأول لبرنامج
SQA,ضَمانُ جَوْدَةِ البَرامِجِ
software specification,مُواصَفاتُ البَرامِجِ
software tool,أداةُ بَرْمَجَةٍ
solicit operation,التماس البيانات
solid state circuitry,دَوائِرٌ من الجَوامِدِ
sorting,الفَرْز
source language,لُغَةُ المَصْدَرِ
program listing,نَصُّ البَرْنامَجِ
source program,بَرْنامَجُ المَصْدَرِ
spam,حثالة البريد الإلكتروني
spam,قمامة بريد إلكتروني
spamming,نشر جماعي
span,الباع
spanning tree,شَجَرَةٌ رابِطَةٌ
sparse matrix,مَصْفُوفَةٌ قَلِيلَةُ الكَثافَةِ (مُخَوَّخَة)
system performance evaluation cooperative,الجمعية التعاونية لتقييم أداء النظم
SCT,جدول للرموز الخاصة (نظم الاتصالات)
specific polling,استطلاع نوعى
spectral analysis,تَحْلِيلٌ طَيْفِيٌّ
Fourier transform.,تحليل الترددات التي تكون إشارة، ويكون ذلك عادة باستخدام تحويل "فورير"
spider,عنكبوت
spike,طفرة
splicing,تراكب
spline,سبلاين
split fields,حقول مُجزّأة
split screen,شاشَةٌ مُجَزَّأَةٌ
split word operation,عملية جزئية
spoofing,احتيال
spool,بَكَرَة
spooling,عَمَلِيَّةُ التَّوْزِيعِ
sequenced packet exchange,مُبَدِّل حُزم متتالية
spyware,برنامج تجسس
software quality assurance,ضَمانُ جَوْدَةِ البَرامِجِ
structured query language,لُغَةُ تَساؤُلٍ أو اِسْتِفْهامٍ
square matrix,مَصْفُوفَةٌ مُرَبَّعَةٌ
square wave,مُوْجَةٌ مُرَبَّعَةٌ
static RAM,رام استاتية
small scale integration,تَجْمِيعٌ صَغِيرٌ
stability,اِسْتِقْرار
LIFO,رَصَّة
staging,تَحْضِيرٌ مَرْحَلِيٌّ
staircase waveform,مَوْجِيَّةٌ سُلَّمِيَّةٌ
stand alone,مُسْتَقِلّ
standard,مِعْيار- عِيارِيّ
SGML,لغة وسم مرجعية معممة
standardization,تنميط
star network,شَبَكَةٌ نَجْمِيَّةٌ
state diagram,مُخَطَّطُ حالاتٍ
state register,مُسَجِّلُ الحالاتِ
state table,جَدْوَلُ الحالاتِ
statement,عِبارَة
static allocation,تَخْصِيصٌ اِسْتاتيٌّ
static data structure,هَيْكَلٌ اِسْتاتيٌّ للبَياناتِ
statistical analysis,تَحْلِيلٌ إحْصائِيٌّ
statistics,الإحْصاءُ
status word,دليل الوضع
status, active,حالَةٌ جارِيَةٌ
status, inactive,حالَةٌ مُتَوَقِّفَةٌ
steganography,ستيجانوجرافيا
stepper motor,مُحرك خطوي
stereoscopic display,عرض مجسم
stochastic process,عَمَلِيَّةٌ عشوائية
storage,خَزْن
storage allocation,تَخْصِيصُ الخَزْنِ
backing storage,خازِنَةٌ مُسانِدَةٌ
storage cell,خليه تخزين
storage compacting,تكثيف التخزين
storage component,عنصر تخزين
storage device,أداةُ خَزْنٍ
storage element,عُنْصُرُ خَزْنٍ
storage pool,مُسْتَوْدَعُ الخَزْنِ
storage protection,حِمايَةُ الخَزْنِ
storage, changeable,مَخْزن قابل للتبديل
store,مَخْزَن
store and forward,خَزْنٌ وإرْسالٌ
store and forward technology,تكنولوجيا التخزين والإرسال
store cycle time,زمن الاسترجاع
stream,جدول (مَجْرَى)
streamer,الشَّرِيطُ الدَّفَّاقُ
streamer,جِهازُ الشَّرِيطِ الدَّفَّاقِ
string,سِلْسِلَة
strongly connected graph,مُخَطَّطٌ وَثِيقُ الاِتِّصالِ
structured programming,البَرْمَجَةُ التركيبية
SQL,لُغَةُ تَساؤُلٍ أو اِسْتِفْهامٍ
structured variable,مُتَغَيِّرٌ تَرْكِيبِيٌّ
stub,برنامج مُضاف
stylus input device,قلم ضوئي
stylus printer,طابعة بالأسنة
subject drift,انجراف موضوع
subnets,شبكات فرعية
subnotebook,حاسوب دفتري صغير
subroutine,بَرْنامَجٌ فَرْعِيٌّ
array,مَنْظُومَة
subtractor,طَرَّاح
suite,طَقْم
SOP,مَجْمُوعُ حَواصِلِ الضَّرْبِ
checksum,مَجْمُوعٌ اِخْتِبارِيٌّ
super joint academic network,سوبر جانِت
super NOS,نوس فائق
supercomputer,حاسوب فائِقٌ
supervisor,المُشْرِف
supervisory program,برنامج الإشراف
support environment,بيئة دعم
surge suppressor,مُخمِد تمورات
surveillance,مراقبة
surveillance program,بَرْنامَجُ مُراقَبَةٍ
suspended state,حالة مُعَلَّقة
super video graphics array,مصفوفة متطورة لعرض الفيديو
swapping,مُبادَلَة
swapping, memory,مبادلة الذاكرة
switch,دَلِيل
switch, electronic,مِفْتاحٌ إلِكْترونِيٌّ
SMDS,خدمات ربط فائقة السرعة
switched-message network,شبكة تبادل الرسائل
switching,تَبْدِيل
logic circuit,دائِرَةٌ مَنْطِقِيَّةٌ
syllable,مقطع لفظي
Symbionts,برامج مؤازرة
symbol table,جَدْوَلُ الرُّمُوزِ
symbolic addressing,عَنْوَنَةٌ رَمْزِيَّةٌ
symbolic language,لُغَةٌ رَمْزِيَّةٌ
symbolic processor,مُشغِّل رمزي
symmetric relation,عِلاقَةٌ تَماثُلِيَّةٌ
synchronization,تَزامُن
synchronizer,مُزامِن
synchronous circuit,دائِرَةٌ مُتَزَامِنَةٌ
synchronous DRAM,رام دينامية متزامنة
synchronous transmission,نقل تزامني
syndrome,تجمع متلازم
syntax,عِلْمُ التَّراكِيبِ (عِلْمُ النَّحْوِ)
syntax directed compiler,مُتَرْجِمٌ لَفْظِيٌّ
syntax error,خَطَأٌ تَرْكِيبِيٌّ
system administrator,مدير النظام
system definition,تَعْرِيفُ النِّظامِ
system failure,إخفاق النظام
system log,سجل النظام
system migration,تغيير نظام
system specification,مُوَاصَفاتُ النِّظامِ
systematic code,كود نَسَقى
systems analysis,تَحْلِيلُ النُّظُمِ
systems design,تَصْمِيمُ النُّظُمِ
SNA,بنية شبكة النظم
systems software,بَرامِجُ النِّظمِ
,مجموعة البرامج اللازمة لتشغيل الحاسوب، دون نظر إلى مَّا يطلب منه من تطبيقات.
tabulation character,رَمْزُ الجَدْوَلَةِ
TLU,رمز للتحكم في وضع البيانات على شكل جدول. ويحدد هذا الرمز بدء كل عمود في الجدول.
tablet,لَوْحَةُ إدْخالٍ
tab,رَمْزُ الجَدْوَلَةِ
tag,وَسْمَة
tagged architecture,بِنْية مَوْسومة
tandem system,نظام تتابعي
tape unit,وَحْدَةُ تَشْغِيلِ شَّرائِطِ
tape format,صِيغَةُ الشَّرِيطِ
tape header,مُقَدَّمَةُ الشَّرِيطِ
tape mark,عَلامَةٌ بالشَّرِيطِ
tape marker, beginning,عَلامَةُ بِدايَةِ الشَّرِيطِ
tape drive,وَحْدَةُ تَشْغِيلِ الشَّرائِطِ
telephony API,برنامج تطبيقي بيني للتليفون
tar,حاوي الملفات
job,شُغْلَة
tautology,قاعدة من المنطق
telecommunications access method,طريقة التّوصُّل عن بعد
T-carrier,قناة اتصالات (تي كارير)
TCP,بروتوكولُ التَّحَكُّمِ في الإرْسالِ
"white-space: pre;">,بروتوكول وكالة أبحاث برامج الدفاع الأمريكية. يستخدم لاتصال الحواسيب، ونقل ملفات البيانات، وقد شاع استخدام هذا البروتوكول في شبكات الحواسيب. والمصطلح الأجنبي مأخوذ من الحروف البادئة لعبارة: transmission control protocol.
TDM,مُضاعَفَةٌ بتَقْسِيمِ الزَّمَنِ
teleconferencing,المُداوَلَةُ عَن بُعْدٍ
telemedicine,التطبيب من بُعد
telephony server,خادم تليفوني
teletypewriter,كاتِبَةٌ عَن بُعْدٍ
teletext,تَلْفَزَةُ النُّصُوصِ
teleprinter,كاتِبَةٌ عَن بُعْدٍ
telnet,تِلْنِت
template,لوحة نسخ
terminal,نِهايَةٌ طَرَفِيَّةٌ
TSR program,برنامج مقيم
termination,اِنْتِهاء
ternary logic,مَنْطِقٌ ثُلاثِيٌّ
ternary numbering system,نظام ترقيم ثلاثي
test and set,اِخْتَبِرْ ودَوِّنْ
test bed,تَخْتَةُ اِخْتِبارٍ
test data,بَياناتُ اِخْتِبارٍ
test run,تَشْغِيلٌ للاِخْتِبارِ
testing,اِخْتِبار
text editor,مُحَرِّرُ النُّصُوصِ
text file,ملف نصي
text mode,نمط نصوص
word processing,مُعالَجَةُ الكَلِماتِ
texture mapping,تمثيل التضاريس
texturing,تضريس
TTNS,نظم شبكات التايمز
theorem proving,إثْباتُ النَّظَرِيَّاِت
thermal printer,طابِعَةٌ حَرارِيَّةٌ
thicknet (thick-wire Ethernet),إيثرنت سميكة الكبل
thin client,منتفع ضعيف
thin server,خادم ضعيف
thinnet (thin-wire Ethernet),إيثرنت رفيعة الكبل
third generation computers,حواسيب الجِيلِ الثَّالِثِ
thrashing,تَأَزُّم
Threaded list,قائمة خيطية
threading,تَتَبُّع
tri state output,خَرْجٌ ثُلاثِيُّ الحالَةِ
threshold gate,بَوَّابَةُ المَبْدَى
throughput,مُعَدَّلُ التَّشْغِيلِ
tie line,خط ربط
tightly coupled processors,مُشَغِّلاتٌ وَثِيقَةُ الاِتِّصالِ
tile,تشكيل متجاور
time bomb,قنبلة موقوتة
time derived channel,قناة تفريق زمني
time division multiplexer,مُجَمِّعٌ زَمَنِيٌّ
TDM,مُضاعَفَةٌ بِتَقْسِيمِ الزَّمَنِ
time domain,نِطاقُ الزَّمَنِ
time initiation facility,وحدة توقيت البدء
time of day clock,ساعَةُ التَّوْقِيتِ الفَلَكِيِّ
time sharing,مُشارَكَةٌ الزمن
time slicing,تَجْزِئَةُ الزَّمَنِ
time stamp,خِتم التوقيت
time, reimbursed,مدة مُستردَّة
timeout,انْتِهاءُ الاِنْتِظارِ
timer, watch dog,مراقب التوقيت
timing diagram,مُخَطَّطُ التَّوْقِيتِ
table Look up,فحص جدولي
token,أمارة (إشارة سماح)
token passing procedures,أساليب مرور بأمارة
token ring network,شَبَكَةٌ حَلَقِيَّةٌ بأمارة
top down development,تَطْوِيرٌ تَنازُلِيٌّ
topology, network,طوبولوجيا الشَّبَكاتِ
touch control panel,لَوْحَةُ تَحَكُّمٍ باللَّمْسِ
touch screen,شاشة لمسية
Touchpad,لوحةُ لمسٍ
tower,حاسوب رأسي (بُرجي)
third party maintenance,صيانة بطرف ثالث
trace program,بَرْنامَجٌ تَعَقُّبِيٌّ
track,مَسَار
traffic requirement matrix,مصفوفة متطلبات الحركة
trailer label,شارَةُ المُؤَخَّرَةِ
trailing edge,حافة ذيلية
trainable recognition,التعرف بالتدريب
transacter,مُنَاول بيانات
transaction,وَحْدَةُ مُعامَلاتٍ
transaction file,مِلَفُّ المُعامَلاتِ
transceiver,مُرْسِلٌ مُسْتَقْبِلٌ
transcriber,جهاز نقل البيانات
transcription,نسخ
transducer,مُحَوِّرُ طاقَةٍ
transfer function,دالَّةُ التَّحْوِيلِ
transfer rate,مُعَدَّلُ النَّقْلِ
transfluxor,عنصر ذاكرة دائمة
transformation matrix,مَصْفُوفَةُ التَّحْوِيلِ
transistor,تَرانْزِسْتُور
TTL,بِناءٌ مَنْطِقِيٌّ بِتِرانْزِسْتُور- تَرانْزِسْتُور
translation table,جَدْوَلُ التَّحْوِيلِ
transmission control character,رمز التحكم في الإرسال
transmission rate,مُعَدَّلُ الإرْسالِ
X-off,قفل المرسل
X-ON,فتح المرسل
transparent operation,عَمَلِيَّةٌ شَفَّافَةٌ
transponder,مُعيد البث
transport, tape,ناقِلَةُ الشَّرِيطِ
trap,مِصْيَدَة
trapping,تَصيُّد
traversal, graph,الجَوْسُ في مُخَطَّطٍ
tree,شَجَرَة
three state output,خَرْجٌ ثُلاثِيُّ الحالَةِ
triangular matrix,مَصْفُوفَةٌ مُثَلَّثِيَّةٌ
triangular matrix, lower,مَصْفُوفَةٌ مُثَلَّثِيَّةٌ سُفْلَى
triangular matrix, upper,مَصْفُوفَةٌ مُثَلَّثِيَّةٌ عُلْيَا
trichromatic,ثلاثي الألوان
tridiagonal matrix,مَصْفُوفَةٌ مُثَلَّثِيَّةُ القُطْرِ
trigger,زِناد
Trojan horse,حصان طروادة
trouble shooting,تَشْخِيصُ الأعْطالِ
true-time operation,عملية فورية
truncation,بَتْر
trunk,مَسارٌ رَئِيسِيٌّ (ترنك)
trunk circuit,دائِرَةٌ رَئِيسِيَّةٌ
truth table,جَدْوَلُ الحَقائِقِ (جَدْوَلُ الواقِعِ)
transistor-transistor logic,بِناءٌ مَنْطِقِيٌّ بتِرانْزِسْتُور- تِرانْزِسْتُور
tumbling,العرض المتقلب
tunnel erase,مَحْو نفقي
Turing machine,آلَةُ "تيورنج"
turn around time,مدة العَمَلِيَّةِ
turnaround document,وثيقة مراجعة
twin check,مراجعة مزدوجة
